"Income inequality (disposable income)"
"Gini coefficient: 0 = complete equality; 1 = complete inequality, 2022"
"Category","Gini coefficient: 0 = complete equality; 1 = complete inequality"
"Costa Rica",0.47186723
"Chile",0.448147548
"Türkiye",0.427148
"Mexico",0.4001119
"United States",0.3961
"United Kingdom",0.364765613
"Lithuania",0.359952586806349
"Israel",0.344907337
"Latvia",0.340341895849108
"Portugal",0.331545043195147
"New Zealand",0.326
"Korea",0.324
"Estonia",0.320700871480632
"Italy",0.319206792211687
"Switzerland",0.316656529903412
"Greece",0.316085635688728
"Spain",0.315669441876986
"Canada",0.3
"France",0.297
"Luxembourg",0.296050833701009
"Hungary",0.294123021609409
"Netherlands",0.291999995708466
"Sweden",0.29
"Austria",0.285380840788686
"Ireland",0.284687971245852
"Denmark",0.276399999856949
"Finland",0.27354
"Poland",0.270148264569445
"Norway",0.26233
"Belgium",0.250419586267391
"Czechia",0.248728370412664
"Slovenia",0.243555001714643
"Slovak Rep.",0.226454917659021
