"Income inequality (disposable income)"
"Gini coefficient: 0 = complete equality; 1 = complete inequality, 2021"
"Category","Gini coefficient: 0 = complete equality; 1 = complete inequality"
"Costa Rica",0.4873102
"Türkiye",0.433142
"United States",0.3752
"Lithuania",0.366404779247891
"United Kingdom",0.354064263
"Israel",0.34812
"Latvia",0.343406014423722
"Japan",0.338
"Italy",0.329686825275536
"Korea",0.329
"Estonia",0.321410768913577
"Spain",0.319555162877947
"Switzerland",0.313459316
"Portugal",0.312692276799744
"Germany",0.312539994716644
"Greece",0.31230810393054
"New Zealand",0.303
"France",0.298
"Netherlands",0.295
"Canada",0.292
"Ireland",0.291158053852958
"Sweden",0.286
"Norway",0.28508
"Luxembourg",0.28387244793461
"Austria",0.280845307478939
"Hungary",0.27770980095667
"Finland",0.27344
"Denmark",0.272899985313416
"Poland",0.260932806407206
"Belgium",0.255583523389691
"Czechia",0.254882210806219
"Slovenia",0.241535671714611
"Slovak Rep.",0.216634046332074
